status,issue,title,validator comment 1,validator comment 2,validator comment 3,root cause 1,root cause 2,root cause 3,merged root cause,primary finding,proposed root cause group,,,,,,,,,,,,,,,,
Satisfactory,findings-4,"Incomplete ""cosmos.msg.v1.signer"" protobuf annotation causes the ""MsgSwapOrder"" message to fail",Inconsistencies when upgrading to new version,Wrong MsgSwapOrder message structure,"""cosmos.msg.v1.signer"" protobuf annotation","https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/interfaces.go#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L70,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97",https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/coinswap.proto#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/app.go#L823,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/app/ante/interfaces.go#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/types/interfaces.go#L70,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/app/app.go#L373,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/coinswap.proto#L13",findings-4,"DUPE-app-002,DUPE-app-003,DUPE-coinswap-001,DUPE-interfaces-001,DUPE-interfaces-002,DUPE-tx-001",DUPE-app-002,DUPE-app-003,DUPE-coinswap-001,DUPE-interfaces-001,DUPE-interfaces-002,DUPE-tx-001,,,,,,,,,,
Satisfactory,validation-20,Govshuttle's RegisterLegacyAminoCodec is Implemented Incorrectly,Incorrect implementation of function,Missing code will be auto-generated by Starport (a scaffolding tool),RegisterLegacyAminoCodec,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L53,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/types/codec.go#L40,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L53,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/types/codec.go#L40,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L53",findings-9,"DUPE-codec-001,DUPE-module-003",DUPE-codec-001,DUPE-module-003,,,,,,,,,,,,,,
Satisfactory,findings-9,Govshuttle module does not register it messages to LegacyAminoCodec,Incorrect implementation of function,Missing code will be auto-generated by Starport (a scaffolding tool),RegisterLegacyAminoCodec,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L53,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/types/codec.go#L40,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L53,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/types/codec.go#L40,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L53",findings-9,"DUPE-codec-001,DUPE-module-003",DUPE-codec-001,DUPE-module-003,,,,,,,,,,,,,,
Satisfactory,validation-25,MsgSwapOrder will never work for Canto nodes,Lack of evidence or detail explanation of issue or root cause,Wrong MsgSwapOrder message structure,"""cosmos.msg.v1.signer"" protobuf annotation",,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/coinswap.proto#L13,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/tx.proto#L97,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/proto/canto/coinswap/v1/coinswap.proto#L13",findings-4,"DUPE-coinswap-001,DUPE-tx-001",DUPE-coinswap-001,DUPE-tx-001,,,,,,,,,,,,,,
Satisfactory,findings-14,Protocol uses deprecated library,Usage of deprecated library,"Valid but QA, as there isn't any significative impact",valid but likely QA due to no stated impact,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/go.mod#L32,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/go.mod#L32,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/go.mod#L32,findings-14,DUPE-go-001,,,,,,,,,,,,,,,,
Satisfactory,validation-26,OnRecvPacket can lead to loss of funds when swapping and converting due to lack of rollback/poor error handling,Incorrect error handling in OnRecvPacket,The logic seems correct according to this comment: https://github.com/code-423n4/2024-05-canto/blob/d1d51b2293d4689f467b8b1c82bba84f8f7ea008/canto-main/x/onboarding/keeper/ibc_callbacks.go#L35-L37,state not rolled back in OnRecvPacket,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/keeper/ibc_callbacks.go#L136-L140,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/keeper/ibc_callbacks.go#L137,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/keeper/ibc_callbacks.go#L137,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/keeper/ibc_callbacks.go#L136-L140,validation-26,DUPE-ibc_callbacks-001,,,,,,,,,,,,,,,,
Satisfactory,findings-3,OnRecvPacket does not roll back failures in Convert coins or Swap coins,Incorrect error handling in OnRecvPacket,The logic seems correct according to this comment: https://github.com/code-423n4/2024-05-canto/blob/d1d51b2293d4689f467b8b1c82bba84f8f7ea008/canto-main/x/onboarding/keeper/ibc_callbacks.go#L35-L37,state not rolled back in OnRecvPacket,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/keeper/ibc_callbacks.go#L136-L140,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/keeper/ibc_callbacks.go#L137,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/keeper/ibc_callbacks.go#L137,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/keeper/ibc_callbacks.go#L136-L140,validation-26,DUPE-ibc_callbacks-001,,,,,,,,,,,,,,,,
Satisfactory,findings-7,coinswap pool price manipulation,"Pool can be left with less that the minimum deposit. Report does not show how to take advantage, feels overinflated",Missing checks from RemoveLiquidity,insufficient proof - liquidity withdrawals cannot generally be sandwiched,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L253-L320,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L253-L320,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L253-L320,findings-7,DUPE-keeper-001,,,,,,,,,,,,,,,,
Satisfactory,validation-27,Price manipulation in `coinswap::pool`,"Pool can be left with less that the minimum deposit. Report does not show how to take advantage, feels overinflated",Missing checks from RemoveLiquidity,insufficient proof - liquidity withdrawals cannot generally be sandwiched,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L253-L320,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L253-L320,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L253-L320,findings-7,DUPE-keeper-001,,,,,,,,,,,,,,,,
Satisfactory,validation-24,An attacker can DoS a coinswap pool,Unbounded mass operation,DoS Might be possible given the loop with all balances,DOS due to unbounded balances array length,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L168,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L193,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L168,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L193,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L168",validation-23,"DUPE-keeper-002,DUPE-keeper-003",DUPE-keeper-002,DUPE-keeper-003,,,,,,,,,,,,,,
Satisfactory,validation-44,A malicious pool creator or first depositor can make depositing and removing liquidity unfavorable for other users.,Inflation attack,"Seems invalid, there are checks for min/max liquidity: https://github.com/code-423n4/2024-05-canto/blob/d1d51b2293d4689f467b8b1c82bba84f8f7ea008/canto-main/x/coinswap/keeper/keeper.go#L161",insufficient quality/proof,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L149-L192,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L149-L192,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L149-L192,findings-13,DUPE-keeper-002,,,,,,,,,,,,,,,,
Satisfactory,validation-49,Malicious First depositor can DOSed the add liquidity function in coinswap module,Inflation attack,Can cause a DoS but cost is enormous,inflation attacks in pools,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L149-L192,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L193,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L149-L192,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L193,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L149-L192",findings-13,"DUPE-keeper-002,DUPE-keeper-003",DUPE-keeper-002,DUPE-keeper-003,,,,,,,,,,,,,,
Satisfactory,validation-23,DoS vulnerability in `coinswap` pool,Unbounded mass operation,DoS Might be possible given the loop with all balances,DOS due to unbounded balances array length,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L168,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L168,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L168,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L168,validation-23,DUPE-keeper-002,,,,,,,,,,,,,,,,
Satisfactory,findings-6,coinswap pool can be DoS,Unbounded mass operation,DoS Might be possible given the loop with all balances,DOS due to unbounded balances array length,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L168,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L168,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L168,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/keeper.go#L168,validation-23,DUPE-keeper-002,,,,,,,,,,,,,,,,
Satisfactory,findings-5,Govshuttle module does not register its transaction MsgServer,Governance proposals will not be transmitted,Missing registration call,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L127,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L127,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L127,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L127,findings-5,DUPE-module-001,,,,,,,,,,,,,,,,
Satisfactory,findings-8,"Govshuttle module does not register the ""MsgUpdateParams"" on the SDK registry",Incomplete implementation of function,Missing registration,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L58,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L58,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L58,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L58,findings-8,DUPE-module-002,,,,,,,,,,,,,,,,
Satisfactory,validation-35,Panic in MustUnmarshal,Low quality and lack of evidence,MustUnmarshal is used extensively and can cause a panic: https://github.com/search?q=repo%3Acode-423n4%2F2024-05-canto%20MustUnmarshal&type=code,panic on MustUnmarshal,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/erc20/keeper/token_pairs.go#L23,"https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/x/evm/types/msg.go#L464,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/x/evm/types/msg.go#L471,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/x/evm/types/msg.go#L478","https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/x/evm/types/msg.go#L464,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/x/evm/types/msg.go#L471,https://github.com/code-423n4/2024-05-canto/blob/main/ethermint-main/x/evm/types/msg.go#L478,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/erc20/keeper/token_pairs.go#L23",validation-35,"DUPE-msg-001,DUPE-msg-002,DUPE-msg-003,DUPE-token_pairs-001",DUPE-msg-001,DUPE-msg-002,DUPE-msg-003,DUPE-token_pairs-001,,,,,,,,,,,,
Satisfactory,validation-53,Oppornity to drain funds because of missing propId validaiton in govshuttle,Lack of evidence,"It might be possible to overwrite an existing proposal. The propId is fetched from the metadata, and if it's not present, it's generated inside the code.",potential overwriting of governance proposal IDs,,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/keeper/msg_server.go#L30,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/keeper/msg_server.go#L40","https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/keeper/msg_server.go#L30,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/keeper/msg_server.go#L48","https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/keeper/msg_server.go#L30-L30,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/keeper/msg_server.go#L48,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/keeper/msg_server.go#L40",validation-53,"DUPE-msg_server-001,DUPE-msg_server-002,DUPE-msg_server-003",DUPE-msg_server-001,DUPE-msg_server-002,DUPE-msg_server-003,,,,,,,,,,,,,
Unsatisfactory,validation-43,When converting coins erc20 module doesn't account for precision resulting in loss/gain for recipient.,Lack of evidence or detail explanation of issue or root cause,"Insufficient proof, but unsure",insufficient proof,,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/erc20/keeper/msg_server.go#L354,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/erc20/keeper/msg_server.go#L486",,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/erc20/keeper/msg_server.go#L354,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/erc20/keeper/msg_server.go#L486",validation-43,,,,,,,,,,,,,,,,,
Unsatisfactory,validation-37,Lack of Validation for Pruning Options,Configuration mistake,GPT generated nonsense,admin/operator error,,,,,validation-37,,,,,,,,,,,,,,,,,
Unsatisfactory,validation-46,Sender is not checked against blacklist,Feature request rather than an issue with impact on the security of the protocol,"Only receiver is checked against blacklist, but not sender","invalid -  as per https://github.com/code-423n4/2024-05-canto/blob/d1d51b2293d4689f467b8b1c82bba84f8f7ea008/canto-main/app/app.go#L1307, BlockedAddrs returns all the app's module account addresses that are not allowed to **receive** external tokens",,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/erc20/keeper/mint.go#L49,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/erc20/keeper/mint.go#L49,validation-46,,,,,,,,,,,,,,,,,
Unsatisfactory,validation-36,Attacker can drain all funds using ConvertERC20,Invalid. Logic uses msg.sender,Insufficient proof of how an attacker can call this Keeper function with arbitrary parameters.,sender is validated in ConvertERC20 entry point,,,,,validation-36,,,,,,,,,,,,,,,,,
Unsatisfactory,validation-41,Lack of Rate Limiting for GRPC Gateway Routes,Lack of evidence or detail explanation of issue or root cause,Insufficient proof. Code will be autogenerated by Starport.,potential DOS via gRPC Gateway routes,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L77,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L76-L79,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L76-L79,validation-41,,,,,,,,,,,,,,,,,
Unsatisfactory,validation-42,Insufficient Validation on Address Setting `govshuttle/keeper/keeper.go`,Configuration mistake,The generated address is never empty: https://github.com/search?q=repo%3Acode-423n4%2F2024-05-canto%20SetPort&type=code,invalid - function is not public,,,,,validation-42,,,,,,,,,,,,,,,,,
Unsatisfactory,validation-40,Lack of Access Control on Module Initialization in `govshuttle/module.go`,Lack of evidence or detail explanation of issue or root cause,GPT generated. InitGenesis is called in a safe context on chain init and upgrade.,,,,,,validation-40,,,,,,,,,,,,,,,,,
Unsatisfactory,validation-2,Critical Vulnerabilities in ERC20MaliciousDelayed Contract,Invalid,GPT generated nonsense,OOS,,,,,validation-2,,,,,,,,,,,,,,,,,
Unsatisfactory,validation-30,Improper Handling of Multiple Extension Options in Cosmos SDK AnteHandler,Invalid,"Correct behaviour. The first extension must contain the url, others do not matter in this context",speculation on future code - current extension options are mutually exclusive,,,,,validation-30,,,,,,,,,,,,,,,,,
Unsatisfactory,validation-33,The Sign method in the MsgEthereumTx structure does not verify if the sender address is registered on the keyring before signing the transaction. This omission could lead to unauthorized transactions being signed and executed.,Invalid,GPT generated nonsense,"ChatGPT, insufficient quality",,,,,validation-33,,,,,,,,,,,,,,,,,
Unsatisfactory,validation-31,The NewKeeper function uses a panic statement when the authority address format is invalid. Panicking can crash the application,Invalid,"Panic seems appropriate in this case, as it's an unrecoverable error; the function is not callable by normal users, only on app init",insufficient proof that these are indeed reachable under normal operation,,,,,validation-31,,,,,,,,,,,,,,,,,
Unsatisfactory,validation-34,Missing Nonce Check in GetSender Function Allows Potential Replay Attacks,Invalid,There is a nonce counter: https://github.com/code-423n4/2024-05-canto/blob/d1d51b2293d4689f467b8b1c82bba84f8f7ea008/ethermint-main/rpc/backend/utils.go#L111,"ChatGPT, insufficient quality",,,,,validation-34,,,,,,,,,,,,,,,,,
Unsatisfactory,validation-32,There is a significant risk of runtime crashes due to nil pointer dereferencing,Invalid,There are nil checks for all of them: https://github.com/code-423n4/2024-05-canto/blob/d1d51b2293d4689f467b8b1c82bba84f8f7ea008/ethermint-main/x/evm/types/msg.go#L92-L95,"ChatGPT, insufficient quality -  pretty sure this is not a dupe of validation-7",,,,,validation-32,,,,,,,,,,,,,,,,,
Unsatisfactory,findings-10,blockedAddrs can bypass,Low quality report,Seems plausible but unsure as OnRecvPacket is a callback,"invalid -  as per https://github.com/code-423n4/2024-05-canto/blob/d1d51b2293d4689f467b8b1c82bba84f8f7ea008/canto-main/app/app.go#L1307, BlockedAddrs returns all the app's module account addresses that are not allowed to receive external tokens",,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/msg_server.go#L144,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/keeper/ibc_callbacks.go#L96",,"https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/coinswap/keeper/msg_server.go#L144,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/keeper/ibc_callbacks.go#L96",findings-10,,,,,,,,,,,,,,,,,
Unsatisfactory,validation-38,Potential Race Conditions in Concurrency Handling,Lack of evidence and detailed explanation,No proof of actual race conditions or potential impact,bypassing blockedAddrs via onboarding module,,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/keeper/ibc_callbacks.go#L96,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/onboarding/keeper/ibc_callbacks.go#L96,validation-38,,,,,,,,,,,,,,,,,
Unsatisfactory,validation-45,Users can profit from `convertCoin` by converting 2 coins of different Values,Low quality and lack of evidence.,"Healthy arbitrage between different chains, this doesn't seem to be an issue",,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/erc20/keeper/msg_server.go#L170,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/erc20/keeper/msg_server.go#L170,validation-45,,,,,,,,,,,,,,,,,
Unsatisfactory,validation-39,Insufficient Genesis Validation in `govshuttle/module.go`,Low quality and lack of evidence,Invalid as the function is called by a trusted actor when the chain is initialized/updated,inflated severity,,,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L68-L74,https://github.com/code-423n4/2024-05-canto/blob/main/canto-main/x/govshuttle/module.go#L68-L74,validation-39,,,,,,,,,,,,,,,,,